"MajorGroup","MinorGroup","BroadGroup","DetailedOccupation","LEV1","LEV2","LEV3","LEV4"
"SOC-11-0000","SOC-11-9000","SOC-11-9070","SOC-11-9071","Management Occupations","Other Management Occupations","Entertainment and Recreation Managers","Gambling Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9070","SOC-11-9072","Management Occupations","Other Management Occupations","Entertainment and Recreation Managers","Entertainment and Recreation Managers, Except Gambling"
"SOC-11-0000","SOC-11-9000","SOC-11-9080","SOC-11-9081","Management Occupations","Other Management Occupations","Lodging Managers","Lodging Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9110","SOC-11-9111","Management Occupations","Other Management Occupations","Medical and Health Services Managers","Medical and Health Services Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9120","SOC-11-9121","Management Occupations","Other Management Occupations","Natural Sciences Managers","Natural Sciences Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9130","SOC-11-9131","Management Occupations","Other Management Occupations","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents"
"SOC-11-0000","SOC-11-9000","SOC-11-9140","SOC-11-9141","Management Occupations","Other Management Occupations","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9150","SOC-11-9151","Management Occupations","Other Management Occupations","Social and Community Service Managers","Social and Community Service Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9160","SOC-11-9161","Management Occupations","Other Management Occupations","Emergency Management Directors","Emergency Management Directors"
"SOC-11-0000","SOC-11-9000","SOC-11-9170","SOC-11-9179","Management Occupations","Other Management Occupations","Personal Service Managers","Personal Service Managers, All Other"
"SOC-11-0000","SOC-11-9000","SOC-11-9170","SOC-11-9171","Management Occupations","Other Management Occupations","Personal Service Managers","Funeral Home Managers"
"SOC-11-0000","SOC-11-9000","SOC-11-9190","SOC-11-9199","Management Occupations","Other Management Occupations","Miscellaneous Managers","Managers, All Other"
"SOC-13-0000","SOC-13-1000","SOC-13-1010","SOC-13-1011","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes"
"SOC-13-0000","SOC-13-1000","SOC-13-1020","SOC-13-1021","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Buyers and Purchasing Agents, Farm Products"
"SOC-13-0000","SOC-13-1000","SOC-13-1020","SOC-13-1023","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Purchasing Agents, Except Wholesale, Retail, and Farm Products"
"SOC-13-0000","SOC-13-1000","SOC-13-1020","SOC-13-1022","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Wholesale and Retail Buyers, Except Farm Products"
"SOC-13-0000","SOC-13-1000","SOC-13-1030","SOC-13-1031","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators"
"SOC-13-0000","SOC-13-1000","SOC-13-1030","SOC-13-1032","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Insurance Appraisers, Auto Damage"
"SOC-13-0000","SOC-13-1000","SOC-13-1040","SOC-13-1041","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers","Compliance Officers"
"SOC-13-0000","SOC-13-1000","SOC-13-1050","SOC-13-1051","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators","Cost Estimators"
"SOC-13-0000","SOC-13-1000","SOC-13-1070","SOC-13-1074","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Farm Labor Contractors"
"SOC-13-0000","SOC-13-1000","SOC-13-1070","SOC-13-1071","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Human Resources Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1070","SOC-13-1075","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Labor Relations Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1080","SOC-13-1081","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians and Project Management Specialists","Logisticians"
"SOC-13-0000","SOC-13-1000","SOC-13-1080","SOC-13-1082","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians and Project Management Specialists","Project Management Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1110","SOC-13-1111","Business and Financial Operations Occupations","Business Operations Specialists","Management Analysts","Management Analysts"
"SOC-13-0000","SOC-13-1000","SOC-13-1120","SOC-13-1121","Business and Financial Operations Occupations","Business Operations Specialists","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners"
"SOC-13-0000","SOC-13-1000","SOC-13-1130","SOC-13-1131","Business and Financial Operations Occupations","Business Operations Specialists","Fundraisers","Fundraisers"
"SOC-13-0000","SOC-13-1000","SOC-13-1140","SOC-13-1141","Business and Financial Operations Occupations","Business Operations Specialists","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1150","SOC-13-1151","Business and Financial Operations Occupations","Business Operations Specialists","Training and Development Specialists","Training and Development Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1160","SOC-13-1161","Business and Financial Operations Occupations","Business Operations Specialists","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists"
"SOC-13-0000","SOC-13-1000","SOC-13-1190","SOC-13-1199","Business and Financial Operations Occupations","Business Operations Specialists","Miscellaneous Business Operations Specialists","Business Operations Specialists, All Other"
"SOC-13-0000","SOC-13-2000","SOC-13-2010","SOC-13-2011","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors","Accountants and Auditors"
"SOC-13-0000","SOC-13-2000","SOC-13-2020","SOC-13-2022","Business and Financial Operations Occupations","Financial Specialists","Property Appraisers and Assessors","Appraisers of Personal and Business Property"
"SOC-13-0000","SOC-13-2000","SOC-13-2020","SOC-13-2023","Business and Financial Operations Occupations","Financial Specialists","Property Appraisers and Assessors","Appraisers and Assessors of Real Estate"
"SOC-13-0000","SOC-13-2000","SOC-13-2030","SOC-13-2031","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts","Budget Analysts"
"SOC-13-0000","SOC-13-2000","SOC-13-2040","SOC-13-2041","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts","Credit Analysts"
"SOC-13-0000","SOC-13-2000","SOC-13-2050","SOC-13-2051","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial and Investment Analysts"
"SOC-13-0000","SOC-13-2000","SOC-13-2050","SOC-13-2053","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Insurance Underwriters"
"SOC-13-0000","SOC-13-2000","SOC-13-2050","SOC-13-2054","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Financial Risk Specialists"
"SOC-13-0000","SOC-13-2000","SOC-13-2050","SOC-13-2052","Business and Financial Operations Occupations","Financial Specialists","Financial Analysts and Advisors","Personal Financial Advisors"
"SOC-13-0000","SOC-13-2000","SOC-13-2060","SOC-13-2061","Business and Financial Operations Occupations","Financial Specialists","Financial Examiners","Financial Examiners"
"SOC-13-0000","SOC-13-2000","SOC-13-2070","SOC-13-2071","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Credit Counselors"
"SOC-13-0000","SOC-13-2000","SOC-13-2070","SOC-13-2072","Business and Financial Operations Occupations","Financial Specialists","Credit Counselors and Loan Officers","Loan Officers"
"SOC-13-0000","SOC-13-2000","SOC-13-2080","SOC-13-2082","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Preparers"
"SOC-13-0000","SOC-13-2000","SOC-13-2080","SOC-13-2081","Business and Financial Operations Occupations","Financial Specialists","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents"
"SOC-13-0000","SOC-13-2000","SOC-13-2090","SOC-13-2099","Business and Financial Operations Occupations","Financial Specialists","Miscellaneous Financial Specialists","Financial Specialists, All Other"
"SOC-15-0000","SOC-15-1200","SOC-15-1210","SOC-15-1211","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Computer Systems Analysts"
"SOC-15-0000","SOC-15-1200","SOC-15-1210","SOC-15-1212","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Analysts","Information Security Analysts"
"SOC-15-0000","SOC-15-1200","SOC-15-1220","SOC-15-1221","Computer and Mathematical Occupations","Computer Occupations","Computer and Information Research Scientists","Computer and Information Research Scientists"
"SOC-15-0000","SOC-15-1200","SOC-15-1230","SOC-15-1231","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer Network Support Specialists"
"SOC-15-0000","SOC-15-1200","SOC-15-1230","SOC-15-1232","Computer and Mathematical Occupations","Computer Occupations","Computer Support Specialists","Computer User Support Specialists"
"SOC-15-0000","SOC-15-1200","SOC-15-1240","SOC-15-1244","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Network and Computer Systems Administrators"
"SOC-15-0000","SOC-15-1200","SOC-15-1240","SOC-15-1242","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Database Administrators"
"SOC-15-0000","SOC-15-1200","SOC-15-1240","SOC-15-1241","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Computer Network Architects"
"SOC-15-0000","SOC-15-1200","SOC-15-1240","SOC-15-1243","Computer and Mathematical Occupations","Computer Occupations","Database and Network Administrators and Architects","Database Architects"
"SOC-15-0000","SOC-15-1200","SOC-15-1250","SOC-15-1252","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Software Developers"
"SOC-15-0000","SOC-15-1200","SOC-15-1250","SOC-15-1254","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Web Developers"
"SOC-15-0000","SOC-15-1200","SOC-15-1250","SOC-15-1255","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Web and Digital Interface Designers"
"SOC-15-0000","SOC-15-1200","SOC-15-1250","SOC-15-1251","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Computer Programmers"
"SOC-15-0000","SOC-15-1200","SOC-15-1250","SOC-15-1253","Computer and Mathematical Occupations","Computer Occupations","Software and Web Developers, Programmers, and Testers","Software Quality Assurance Analysts and Testers"
"SOC-15-0000","SOC-15-1200","SOC-15-1290","SOC-15-1299","Computer and Mathematical Occupations","Computer Occupations","Miscellaneous Computer Occupations","Computer Occupations, All Other"
"SOC-15-0000","SOC-15-2000","SOC-15-2010","SOC-15-2011","Computer and Mathematical Occupations","Mathematical Science Occupations","Actuaries","Actuaries"
"SOC-15-0000","SOC-15-2000","SOC-15-2020","SOC-15-2021","Computer and Mathematical Occupations","Mathematical Science Occupations","Mathematicians","Mathematicians"
"SOC-15-0000","SOC-15-2000","SOC-15-2030","SOC-15-2031","Computer and Mathematical Occupations","Mathematical Science Occupations","Operations Research Analysts","Operations Research Analysts"
"SOC-15-0000","SOC-15-2000","SOC-15-2040","SOC-15-2041","Computer and Mathematical Occupations","Mathematical Science Occupations","Statisticians","Statisticians"
"SOC-15-0000","SOC-15-2000","SOC-15-2050","SOC-15-2051","Computer and Mathematical Occupations","Mathematical Science Occupations","Data Scientists","Data Scientists"
"SOC-15-0000","SOC-15-2000","SOC-15-2090","SOC-15-2099","Computer and Mathematical Occupations","Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations","Mathematical Science Occupations, All Other"
"SOC-17-0000","SOC-17-1000","SOC-17-1010","SOC-17-1011","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Architects, Except Naval","Architects, Except Landscape and Naval"
"SOC-17-0000","SOC-17-1000","SOC-17-1010","SOC-17-1012","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Architects, Except Naval","Landscape Architects"
"SOC-17-0000","SOC-17-1000","SOC-17-1020","SOC-17-1021","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Cartographers and Photogrammetrists"
"SOC-17-0000","SOC-17-1000","SOC-17-1020","SOC-17-1022","Architecture and Engineering Occupations","Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Surveyors"
"SOC-17-0000","SOC-17-2000","SOC-17-2010","SOC-17-2011","Architecture and Engineering Occupations","Engineers","Aerospace Engineers","Aerospace Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2020","SOC-17-2021","Architecture and Engineering Occupations","Engineers","Agricultural Engineers","Agricultural Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2030","SOC-17-2031","Architecture and Engineering Occupations","Engineers","Bioengineers and Biomedical Engineers","Bioengineers and Biomedical Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2040","SOC-17-2041","Architecture and Engineering Occupations","Engineers","Chemical Engineers","Chemical Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2050","SOC-17-2051","Architecture and Engineering Occupations","Engineers","Civil Engineers","Civil Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2060","SOC-17-2061","Architecture and Engineering Occupations","Engineers","Computer Hardware Engineers","Computer Hardware Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2070","SOC-17-2071","Architecture and Engineering Occupations","Engineers","Electrical and Electronics Engineers","Electrical Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2070","SOC-17-2072","Architecture and Engineering Occupations","Engineers","Electrical and Electronics Engineers","Electronics Engineers, Except Computer"
"SOC-17-0000","SOC-17-2000","SOC-17-2080","SOC-17-2081","Architecture and Engineering Occupations","Engineers","Environmental Engineers","Environmental Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2110","SOC-17-2112","Architecture and Engineering Occupations","Engineers","Industrial Engineers, Including Health and Safety","Industrial Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2110","SOC-17-2111","Architecture and Engineering Occupations","Engineers","Industrial Engineers, Including Health and Safety","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
"SOC-17-0000","SOC-17-2000","SOC-17-2120","SOC-17-2121","Architecture and Engineering Occupations","Engineers","Marine Engineers and Naval Architects","Marine Engineers and Naval Architects"
"SOC-17-0000","SOC-17-2000","SOC-17-2130","SOC-17-2131","Architecture and Engineering Occupations","Engineers","Materials Engineers","Materials Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2140","SOC-17-2141","Architecture and Engineering Occupations","Engineers","Mechanical Engineers","Mechanical Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2150","SOC-17-2151","Architecture and Engineering Occupations","Engineers","Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2160","SOC-17-2161","Architecture and Engineering Occupations","Engineers","Nuclear Engineers","Nuclear Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2170","SOC-17-2171","Architecture and Engineering Occupations","Engineers","Petroleum Engineers","Petroleum Engineers"
"SOC-17-0000","SOC-17-2000","SOC-17-2190","SOC-17-2199","Architecture and Engineering Occupations","Engineers","Miscellaneous Engineers","Engineers, All Other"
"SOC-17-0000","SOC-17-3000","SOC-17-3010","SOC-17-3019","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Drafters, All Other"
"SOC-17-0000","SOC-17-3000","SOC-17-3010","SOC-17-3011","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Architectural and Civil Drafters"
"SOC-17-0000","SOC-17-3000","SOC-17-3010","SOC-17-3013","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Mechanical Drafters"
"SOC-17-0000","SOC-17-3000","SOC-17-3010","SOC-17-3012","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Drafters","Electrical and Electronics Drafters"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3021","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Aerospace Engineering and Operations Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3027","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Mechanical Engineering Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3025","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Environmental Engineering Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3028","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Calibration Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3022","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Civil Engineering Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3026","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Industrial Engineering Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3023","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Electrical and Electronic Engineering Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3024","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Electro-Mechanical and Mechatronics Technologists and Technicians"
"SOC-17-0000","SOC-17-3000","SOC-17-3020","SOC-17-3029","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters","Engineering Technologists and Technicians, Except Drafters, All Other"
"SOC-17-0000","SOC-17-3000","SOC-17-3030","SOC-17-3031","Architecture and Engineering Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Surveying and Mapping Technicians","Surveying and Mapping Technicians"
"SOC-19-0000","SOC-19-1000","SOC-19-1010","SOC-19-1013","Life, Physical, and Social Science Occupations","Life Scientists","Agricultural and Food Scientists","Soil and Plant Scientists"
"SOC-19-0000","SOC-19-1000","SOC-19-1010","SOC-19-1011","Life, Physical, and Social Science Occupations","Life Scientists","Agricultural and Food Scientists","Animal Scientists"
"SOC-19-0000","SOC-19-1000","SOC-19-1010","SOC-19-1012","Life, Physical, and Social Science Occupations","Life Scientists","Agricultural and Food Scientists","Food Scientists and Technologists"
"SOC-19-0000","SOC-19-1000","SOC-19-1020","SOC-19-1022","Life, Physical, and Social Science Occupations","Life Scientists","Biological Scientists","Microbiologists"
"SOC-19-0000","SOC-19-1000","SOC-19-1020","SOC-19-1023","Life, Physical, and Social Science Occupations","Life Scientists","Biological Scientists","Zoologists and Wildlife Biologists"
"SOC-19-0000","SOC-19-1000","SOC-19-1020","SOC-19-1021","Life, Physical, and Social Science Occupations","Life Scientists","Biological Scientists","Biochemists and Biophysicists"
"SOC-19-0000","SOC-19-1000","SOC-19-1020","SOC-19-1029","Life, Physical, and Social Science Occupations","Life Scientists","Biological Scientists","Biological Scientists, All Other"
"SOC-19-0000","SOC-19-1000","SOC-19-1030","SOC-19-1031","Life, Physical, and Social Science Occupations","Life Scientists","Conservation Scientists and Foresters","Conservation Scientists"
"SOC-19-0000","SOC-19-1000","SOC-19-1030","SOC-19-1032","Life, Physical, and Social Science Occupations","Life Scientists","Conservation Scientists and Foresters","Foresters"
"SOC-19-0000","SOC-19-1000","SOC-19-1040","SOC-19-1041","Life, Physical, and Social Science Occupations","Life Scientists","Medical Scientists","Epidemiologists"
"SOC-19-0000","SOC-19-1000","SOC-19-1040","SOC-19-1042","Life, Physical, and Social Science Occupations","Life Scientists","Medical Scientists","Medical Scientists, Except Epidemiologists"
"SOC-19-0000","SOC-19-1000","SOC-19-1090","SOC-19-1099","Life, Physical, and Social Science Occupations","Life Scientists","Miscellaneous Life Scientists","Life Scientists, All Other"
"SOC-19-0000","SOC-19-2000","SOC-19-2010","SOC-19-2011","Life, Physical, and Social Science Occupations","Physical Scientists","Astronomers and Physicists","Astronomers"
"SOC-19-0000","SOC-19-2000","SOC-19-2010","SOC-19-2012","Life, Physical, and Social Science Occupations","Physical Scientists","Astronomers and Physicists","Physicists"
"SOC-19-0000","SOC-19-2000","SOC-19-2020","SOC-19-2021","Life, Physical, and Social Science Occupations","Physical Scientists","Atmospheric and Space Scientists","Atmospheric and Space Scientists"
"SOC-19-0000","SOC-19-2000","SOC-19-2030","SOC-19-2032","Life, Physical, and Social Science Occupations","Physical Scientists","Chemists and Materials Scientists","Materials Scientists"
"SOC-19-0000","SOC-19-2000","SOC-19-2030","SOC-19-2031","Life, Physical, and Social Science Occupations","Physical Scientists","Chemists and Materials Scientists","Chemists"
"SOC-19-0000","SOC-19-2000","SOC-19-2040","SOC-19-2043","Life, Physical, and Social Science Occupations","Physical Scientists","Environmental Scientists and Geoscientists","Hydrologists"
"SOC-19-0000","SOC-19-2000","SOC-19-2040","SOC-19-2041","Life, Physical, and Social Science Occupations","Physical Scientists","Environmental Scientists and Geoscientists","Environmental Scientists and Specialists, Including Health"
"SOC-19-0000","SOC-19-2000","SOC-19-2040","SOC-19-2042","Life, Physical, and Social Science Occupations","Physical Scientists","Environmental Scientists and Geoscientists","Geoscientists, Except Hydrologists and Geographers"
"SOC-19-0000","SOC-19-2000","SOC-19-2090","SOC-19-2099","Life, Physical, and Social Science Occupations","Physical Scientists","Miscellaneous Physical Scientists","Physical Scientists, All Other"
"SOC-19-0000","SOC-19-3000","SOC-19-3010","SOC-19-3011","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Economists","Economists"
"SOC-19-0000","SOC-19-3000","SOC-19-3020","SOC-19-3022","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Survey Researchers","Survey Researchers"
"SOC-19-0000","SOC-19-3000","SOC-19-3030","SOC-19-3039","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Psychologists, All Other"
"SOC-19-0000","SOC-19-3000","SOC-19-3030","SOC-19-3034","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","School Psychologists"
"SOC-19-0000","SOC-19-3000","SOC-19-3030","SOC-19-3032","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Industrial-Organizational Psychologists"
"SOC-19-0000","SOC-19-3000","SOC-19-3030","SOC-19-3033","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Clinical and Counseling Psychologists"
"SOC-19-0000","SOC-19-3000","SOC-19-3040","SOC-19-3041","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Sociologists","Sociologists"
"SOC-19-0000","SOC-19-3000","SOC-19-3050","SOC-19-3051","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Urban and Regional Planners","Urban and Regional Planners"
"SOC-19-0000","SOC-19-3000","SOC-19-3090","SOC-19-3093","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Historians"
