"PNAME","TITLE_RAW","TOT.HOURS","TOT.COMP","title.standard","TitleTxt6","TitleTxt5","TitleTxt4","TitleTxt3","TitleTxt2","OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_AVE_HOUR_WEEK_RL","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_KEY_EMPL_X","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_FORMER_X","date.x","Num.Titles","SCHED.O","SCHED.AT.LARGE","AS.NEEDED","EX.OFFICIO","CO","REGIONAL","FUTURE","FORMER","INTERIM","domain.category","domainl.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","com"
"ALFRED MARTIN","PRESIDENT","20","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201921339349302417","550333042","AMERICAN LEGION POST 149","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921339349302417_public.xml","PRESIDENT","20","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"ALFRED MARTIN","PRESIDENT","20","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201921339349302417","550333042","AMERICAN LEGION POST 149","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921339349302417_public.xml","PRESIDENT","20","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"TRINICE CHISHOLM","VICE PRESIDENT","20","0","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","202031149349200203","813524944","GLOBAL INSTITUTE OF COLLEGE PLANNING INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031149349200203_public.xml","VICE PRESIDENT","20","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"Marilyn Bell","Executive Director","12","0","CEO","CEO","CEO","EXECUTIVE DIRECTOR","EXECUTIVE DIRECTOR","EXECUTIVE DIRECTOR","201901319349300115","510152693","The Chamber Music Conference and Composers' Forum of the East Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901319349300115_public.xml","EXECUTIVE DIRECTOR","12","0","0","0","0","0","0","1","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"Paul Perconti","Board Chairman","10","0","BOARD PRESIDENT","BOARD CHAIR","BOARD CHAIR","BOARD CHAIRMAN","BOARD CHAIRMAN","BOARD CHAIRMAN","202030239349300733","043798875","West End School Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030239349300733_public.xml","BOARD CHAIRMAN","10","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"JUDY KLAPP","SECRETARY","10","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201901379349300935","141696968","NEW SALEM VOLUNTEER FIRE DEPARTMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901379349300935_public.xml","SECRETARY","10","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"DANA O WILLIAMS","PRESIDENT ELECT","10","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT ELECT","PRESIDENT ELECT","PRESIDENT ELECT","PRESIDENT ELECT","202011979349307191","520815403","MARYLAND STATE BAR ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011979349307191_public.xml","PRESIDENT ELECT","10","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","1","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"DANA O WILLIAMS","PRESIDENT ELECT","10","0","CEO","PRESIDENT","PRESIDENT ELECT","PRESIDENT ELECT","PRESIDENT ELECT","PRESIDENT ELECT","202011979349307191","520815403","MARYLAND STATE BAR ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011979349307191_public.xml","PRESIDENT ELECT","10","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","1","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"John Jennings","Director","10","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202041279349301014","521187261","West Friendship Volunteer Firemans Dept Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041279349301014_public.xml","DIRECTOR","10","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Gillian Windisch","Director","10","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201923149349200067","931039552","American Institute of Graphic Arts","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923149349200067_public.xml","DIRECTOR","10","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"STEVE SPAULDING","ASST. VP - BASEBALL","10","0",NA,"ASSISTANT VICE PRESIDENT, BASEBALL","ASSISTANT VICE PRESIDENT, BASEBALL","ASST VP, BASEBALL","ASST VP, BASEBALL","ASST VP - BASEBALL","202010629349300126","943086807","ALAMEDA LITTLE LEAGUE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010629349300126_public.xml","ASST VP - BASEBALL","10","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CURTIS JOHNSON","Secretary","8","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201943199349316919","300403249","PANORAMA BAPTIST SCHOOL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349316919_public.xml","SECRETARY","8","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"Robert Rye","President","5","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202010989349301136","311443814","American Heritage Girls Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010989349301136_public.xml","PRESIDENT","5","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"Robert Rye","President","5","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202010989349301136","311443814","American Heritage Girls Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010989349301136_public.xml","PRESIDENT","5","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"CYNTHIA GONYA","TREASURER","5","0","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER","201913199349307501","320034746","BRAVEHEARTS THERAPEUTIC RIDING","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349307501_public.xml","TREASURER","5","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"Meg Richardson","Vice President","5","0","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","201933169349306323","320455808","MENTONE ARTS AND CULTURE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933169349306323_public.xml","VICE PRESIDENT","5","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"DONNA GRANBERG","DIRECTOR","5","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201923199349310442","411460814","LIONS CLUB OF SCANDIA-MARINE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923199349310442_public.xml","DIRECTOR","5","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"THOMAS GRIFFITHS","Trustee","5","0","BOARD MEMBER","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","TRUSTEE","201931969349300128","571176944","STATEN ISLAND LODGE 841 BPO OF ELKS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931969349300128_public.xml","TRUSTEE","5","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"Violetta Yu","Secretary","4","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201941319349200239","043052276","Wakefield Educational Foundation","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941319349200239_public.xml","SECRETARY","4","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"MARK J MEKOTA","CHAIRMAN","4","0","BOARD PRESIDENT","CHAIR","CHAIR","CHAIRMAN","CHAIRMAN","CHAIRMAN","201931309349302833","205528488","CARE FOR OTHERS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931309349302833_public.xml","CHAIRMAN","4","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"NORMA HERNANDEZ","BOARD OF DIRECTOR","4","0","BOARD MEMBER","BOARD OF DIRECTOR","BOARD OF DIRECTOR","BOARD OF DIRECTOR","BOARD OF DIRECTOR","BOARD OF DIRECTOR","201913189349202146","770198049","MERCED CO HISPANIC CHAMBER OF COMMERCE","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913189349202146_public.xml","BOARD OF DIRECTOR","4","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"TERRY HARTWELL","BOARD MEMBER","2.2","0","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","BOARD MEMBER","202010579349300806","510073399","UNITED WAY OF DELAWARE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300806_public.xml","BOARD MEMBER","2","0.2","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"LAURA L KAYHART","PRESIDENT","2","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202040459349300204","203253257","WESTMORELAND CLEANWAYS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040459349300204_public.xml","PRESIDENT","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"LAURA L KAYHART","PRESIDENT","2","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","202040459349300204","203253257","WESTMORELAND CLEANWAYS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040459349300204_public.xml","PRESIDENT","2","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"BOB BOARD","PAST PRESIDE","2","0","BOARD PRESIDENT","PRESIDENT","PAST PRESIDENT","PAST PRESIDE","PAST PRESIDE","PAST PRESIDE","201910799349300126","222575700","USS SAINT PAUL ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910799349300126_public.xml","PAST PRESIDE","2","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","board","board","","","","","","","","","","","","X","X","","","",""
"BOB BOARD","PAST PRESIDE","2","0","CEO","PRESIDENT","PAST PRESIDENT","PAST PRESIDE","PAST PRESIDE","PAST PRESIDE","201910799349300126","222575700","USS SAINT PAUL ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910799349300126_public.xml","PAST PRESIDE","2","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","1","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"PAULETTE RICHIE","Director","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201943039349301529","237000743","ARKANSAS REALTORS ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943039349301529_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"BETH SHUSTER","DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202042259349300349","237439790","EDUCATION WRITERS ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042259349300349_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ANNA EVANS","DIRECTOR","2","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201932069349300983","262464764","LIVEWELL COLORADO","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932069349300983_public.xml","DIRECTOR","2","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"KIMBERLY JOWERS","EXECUTIVE VICE PRESIDENT","2","0","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","EXECUTIVE VICE PRESIDENT","202020459349300632","263143842","CYPRESS RANCH HIGH SCHOOL BAND BOOSTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349300632_public.xml","EXECUTIVE VICE PRESIDENT","2","0","0","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"JORDAN BENTLAGE","NATIONAL EXECUTIVE DIRECTOR","2","0","CEO","CEO","NATIONAL CEO","NATIONAL EXECUTIVE DIRECTOR","NATIONAL EXECUTIVE DIRECTOR","NATIONAL EXECUTIVE DIRECTOR","201922639349200007","264233828","SIGMA KAPPA SORORITY KAPPA RHO","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922639349200007_public.xml","NATIONAL EXECUTIVE DIRECTOR","2","0",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,"0","1","0","0","0","0","0","1","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
